epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,560.375,1.27816,0.43374,0,0.60337,1.01971,0.97043,0.95669,0.98549,0.65705,0.97125,0.96979,0.98986,0.94754,1.18723,0.2716,0,0.52807,1.01964,0.0013532,0.0013532,0.0013532
51,574.289,1.26603,0.43094,0,0.60556,1.01851,0.96275,0.96025,0.98438,0.66653,0.96976,0.96864,0.98844,0.95237,1.16873,0.2654,0,0.52535,1.01459,0.00134,0.00134,0.00134
52,586.108,1.28924,0.43761,0,0.6052,1.02177,0.96374,0.95768,0.98404,0.64445,0.96573,0.9706,0.98849,0.94518,1.2278,0.28839,0,0.5431,1.03155,0.0013268,0.0013268,0.0013268
53,597.075,1.25583,0.42161,0,0.59318,1.01199,0.96754,0.96346,0.98528,0.6723,0.97338,0.96878,0.9889,0.95087,1.16188,0.27609,0,0.51893,1.0076,0.0013136,0.0013136,0.0013136
54,607.485,1.27755,0.42477,0,0.59856,1.02519,0.96391,0.96608,0.98649,0.66818,0.96493,0.97689,0.98974,0.9532,1.15689,0.25882,0,0.51762,1.00622,0.0013004,0.0013004,0.0013004
55,618.124,1.27793,0.41859,0,0.6008,1.01419,0.9674,0.96714,0.9863,0.66941,0.97193,0.97191,0.99004,0.95145,1.17004,0.26131,0,0.51245,1.01047,0.0012872,0.0012872,0.0012872
56,628.54,1.25508,0.40756,0,0.59699,1.01508,0.96101,0.96131,0.98589,0.66682,0.9701,0.96873,0.98996,0.95389,1.17278,0.26536,0,0.51564,1.01295,0.001274,0.001274,0.001274
57,639.226,1.26799,0.40825,0,0.59311,1.01135,0.96552,0.96926,0.98727,0.67497,0.97254,0.97615,0.99004,0.95424,1.16585,0.25644,0,0.5118,1.0087,0.0012608,0.0012608,0.0012608
58,650.617,1.27122,0.41014,0,0.59545,1.01931,0.96756,0.96423,0.98488,0.67044,0.97276,0.97297,0.9889,0.95278,1.15077,0.25559,0,0.50818,1.00762,0.0012476,0.0012476,0.0012476
59,662.15,1.23364,0.40093,0,0.59643,1.00541,0.97413,0.95769,0.98559,0.67863,0.97344,0.97097,0.99006,0.9555,1.14291,0.24999,0,0.51237,1.00187,0.0012344,0.0012344,0.0012344
60,674.962,1.23777,0.40181,0,0.58569,1.00914,0.96476,0.96979,0.9868,0.67432,0.97873,0.96502,0.98949,0.95331,1.14529,0.25299,0,0.50916,1.00353,0.0012212,0.0012212,0.0012212
61,689.79,1.23854,0.38191,0,0.57836,0.99729,0.97217,0.96258,0.98587,0.67183,0.97806,0.9684,0.9899,0.95456,1.16162,0.25345,0,0.50216,1.00538,0.001208,0.001208,0.001208
62,703.528,1.23373,0.38658,0,0.57768,0.99955,0.96411,0.96661,0.98629,0.68336,0.97137,0.97104,0.98927,0.95709,1.13789,0.24811,0,0.50174,0.99823,0.0011948,0.0011948,0.0011948
63,716.319,1.23342,0.38382,0,0.57213,0.997,0.96002,0.96712,0.98592,0.65932,0.96527,0.972,0.98937,0.95008,1.18174,0.26842,0,0.517,1.01795,0.0011816,0.0011816,0.0011816
64,727.975,1.23508,0.38161,0,0.57435,1.00546,0.97368,0.96078,0.98642,0.68719,0.9785,0.96491,0.98964,0.96056,1.12692,0.24279,0,0.49689,0.99731,0.0011684,0.0011684,0.0011684
65,740.921,1.22397,0.38608,0,0.57083,0.99994,0.96569,0.96965,0.98765,0.6761,0.97244,0.97219,0.99062,0.95816,1.14706,0.24755,0,0.49833,1.00278,0.0011552,0.0011552,0.0011552
66,757.126,1.2311,0.38893,0,0.57146,1.0001,0.96601,0.96378,0.98774,0.67772,0.97238,0.97014,0.99036,0.95659,1.14537,0.2542,0,0.50308,1.00538,0.001142,0.001142,0.001142
